Dataset,Metric,cnn,RF,GB
CIFAR10,L1,2148.82±68.69,1859.73±38.41,2054.79±64.43
CIFAR10,L2,2015.88±91.56,1812.55±73.29,1842.34±75.80
CIFAR10,Linf,2243.99±75.53,2050.52±58.05,2069.64±72.99
CIFAR100,L1,2115.63±161.21,1862.06±59.86,2158.97±97.40
CIFAR100,L2,2130.20±209.83,1735.61±116.11,1901.72±131.86
CIFAR100,Linf,2294.47±171.56,1992.16±108.32,2136.98±120.59
Fashion_MNIST,L1,788.69±26.85,721.75±21.77,708.91±20.47
Fashion_MNIST,L2,725.54±34.99,673.41±35.35,658.31±30.03
Fashion_MNIST,Linf,802.63±30.67,725.27±22.87,728.31±23.74
GTSRB,L1,1566.97±56.32,1505.77±47.56,1481.59±43.34
GTSRB,L2,1450.74±81.39,1447.81±86.70,1366.26±69.95
GTSRB,Linf,1616.48±66.44,1660.76±70.35,1510.98±59.39
MNIST,L1,826.17±20.74,735.63±17.60,727.97±17.20
MNIST,L2,762.00±26.74,731.08±27.82,628.57±20.85
MNIST,Linf,843.80±22.10,749.29±19.67,767.34±20.15
SignLanguage,L1,194.40±7.30,198.44±6.92,183.42±6.79
SignLanguage,L2,187.30±10.25,186.74±9.31,174.66±9.41
SignLanguage,Linf,194.02±7.71,212.71±8.53,195.79±7.71
